AD Gene	AD ORF	AD Source Plate	AD Source Well	DB Gene	DB ORF	DB Source Plate	DB Source Well	Retest Result (Binary)	Retest Result (Detailed)	Experiment Name	Sorterd_Interaction_Pair
LOC_OS07G46750	LOC_OS07G46750.1	6.0	C12	LOC_OS07G42300	LOC_OS07G42300.2	6.0	B09	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS07G42300', 'LOC_OS07G46750')
LOC_OS08G29650				LOC_OS07G47630				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS07G47630', 'LOC_OS08G29650')
LOC_OS12G09089	LOC_OS12G09089.1	10.0	E02	LOC_OS07G47630	LOC_OS07G47630.6	7.0	B08	True	BLUE	IST_Retest_from_Vidal_PlateSeq_CP2	('LOC_OS07G47630', 'LOC_OS12G09089')
LOC_OS11G29200	LOC_OS11G29200.1	19.0	F07	LOC_OS07G49040	LOC_OS07G49040.1	14.0	C05	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP2	('LOC_OS07G49040', 'LOC_OS11G29200')
LOC_OS12G31380	LOC_OS12G31380.1	12.0	A09	LOC_OS07G49040	LOC_OS07G49040.1	14.0	C05	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS07G49040', 'LOC_OS12G31380')
LOC_OS07G49400	LOC_OS07G49400.2	7.0	G09	LOC_OS07G49400	LOC_OS07G49400.2	7.0	G09	True	RED	IST_Retest_from_Vidal_PlateSeq_CP2	('LOC_OS07G49400', 'LOC_OS07G49400')
LOC_OS08G02340				LOC_OS08G03640				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS08G02340', 'LOC_OS08G03640')
LOC_OS11G43620	LOC_OS11G43620.1	1.0	H01	LOC_OS08G05530	LOC_OS08G05530.1	1.0	H07	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS08G05530', 'LOC_OS11G43620')
LOC_OS12G04010	LOC_OS12G04010.1	16.0	F05	LOC_OS08G05880	LOC_OS08G05880.1	9.0	C02	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS08G05880', 'LOC_OS12G04010')
LOC_OS11G45590	LOC_OS11G45590.1	16.0	B05	LOC_OS08G06060	LOC_OS08G06060.1	13.0	D06	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS08G06060', 'LOC_OS11G45590')
LOC_OS08G29650				LOC_OS08G29650				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS08G29650', 'LOC_OS08G29650')
LOC_OS08G29650				LOC_OS09G31482				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS08G29650', 'LOC_OS09G31482')
LOC_OS08G29650	LOC_OS08G29650.1	8.0	B12	LOC_OS10G02630	LOC_OS10G02630.1	15.0	B03	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS08G29650', 'LOC_OS10G02630')
LOC_OS11G02070				LOC_OS08G37800				True	BLUE	IST_Retest_from_Sanger_All_Rice	('LOC_OS08G37800', 'LOC_OS11G02070')
LOC_OS11G02760	LOC_OS11G02760.1	6.0	F01	LOC_OS08G37800	LOC_OS08G37800.1	15.0	G10	True	RED	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS08G37800', 'LOC_OS11G02760')
LOC_OS12G01530				LOC_OS08G37800				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS08G37800', 'LOC_OS12G01530')
LOC_OS08G44810	LOC_OS08G44810.1	14.0	D10	LOC_OS08G44810	LOC_OS08G44810.1	14.0	D10	True	RED	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS08G44810', 'LOC_OS08G44810')
LOC_OS09G08660				LOC_OS09G08660				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS09G08660', 'LOC_OS09G08660')
LOC_OS09G10820	LOC_OS09G10820.1	11.0	H09	LOC_OS09G10820	LOC_OS09G10820.1	11.0	H09	True	RED	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS09G10820', 'LOC_OS09G10820')
LOC_OS09G19560				LOC_OS09G19560				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS09G19560', 'LOC_OS09G19560')
LOC_OS11G45590				LOC_OS09G31482				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS09G31482', 'LOC_OS11G45590')
LOC_OS09G33460				LOC_OS11G34450				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS09G33460', 'LOC_OS11G34450')
LOC_OS09G34060				LOC_OS11G11100				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS09G34060', 'LOC_OS11G11100')
LOC_OS09G34060	LOC_OS09G34060.1	12.0	C06	LOC_OS11G34450	LOC_OS11G34450.1	8.0	G04	True	BLUE	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS09G34060', 'LOC_OS11G34450')
LOC_OS10G06700	LOC_OS10G06700.1	12.0	D07	LOC_OS09G36830	LOC_OS09G36830.1	4.0	H11	True	RED	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS09G36830', 'LOC_OS10G06700')
LOC_OS12G31380				LOC_OS10G02630				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS10G02630', 'LOC_OS12G31380')
LOC_OS10G06700	LOC_OS10G06700.1	12.0	D07	LOC_OS11G26910	LOC_OS11G26910.1	4.0	D10	True	RED	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS10G06700', 'LOC_OS11G26910')
LOC_OS10G20240	LOC_OS10G20240.1	12.0	F02	LOC_OS11G29200	LOC_OS11G29200.1	19.0	F07	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP2	('LOC_OS10G20240', 'LOC_OS11G29200')
LOC_OS11G02070				LOC_OS10G33800				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS10G33800', 'LOC_OS11G02070')
LOC_OS10G41410				LOC_OS10G41410				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS10G41410', 'LOC_OS10G41410')
LOC_OS10G41410	LOC_OS10G41410.1	4.0	G08	LOC_OS12G38110	LOC_OS12G38110.1	20.0	A01	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS10G41410', 'LOC_OS12G38110')
LOC_OS12G31380				LOC_OS10G43050				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS10G43050', 'LOC_OS12G31380')
LOC_OS11G02070				LOC_OS11G02070				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS11G02070', 'LOC_OS11G02070')
LOC_OS12G02030				LOC_OS11G02070				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS11G02070', 'LOC_OS12G02030')
LOC_OS11G04954				LOC_OS11G04954				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS11G04954', 'LOC_OS11G04954')
LOC_OS11G24560	LOC_OS11G24560.1	19.0	B04	LOC_OS11G29200	LOC_OS11G29200.1	19.0	F07	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS11G24560', 'LOC_OS11G29200')
LOC_OS11G34450	LOC_OS11G34450.1	8.0	G04	LOC_OS11G34450	LOC_OS11G34450.1	8.0	G04	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP2	('LOC_OS11G34450', 'LOC_OS11G34450')
LOC_OS12G02030	LOC_OS12G02030.1	8.0	E10	LOC_OS12G02030	LOC_OS12G02030.1	8.0	E10	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP2	('LOC_OS12G02030', 'LOC_OS12G02030')
LOC_OS12G09089	LOC_OS12G09089.1	10.0	E02	LOC_OS12G09089	LOC_OS12G09089.1	10.0	E02	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP2	('LOC_OS12G09089', 'LOC_OS12G09089')
LOC_OS12G31380				LOC_OS12G09089				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS12G09089', 'LOC_OS12G31380')
LOC_OS12G30060				LOC_OS12G37590				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS12G30060', 'LOC_OS12G37590')
LOC_OS12G31380	LOC_OS12G31380.1	12.0	A09	LOC_OS12G37370	LOC_OS12G37370.1	1.0	C11	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS12G31380', 'LOC_OS12G37370')
