AD Gene	AD ORF	AD Source Plate	AD Source Well	DB Gene	DB ORF	DB Source Plate	DB Source Well	Retest Result (Binary)	Retest Result (Detailed)	Experiment Name	Sorterd_Interaction_Pair
LOC_OS08G28680	LOC_OS08G28680.1	4.0	F11	LOC_OS03G13970	LOC_OS03G13970.1	13.0	E08	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS03G13970', 'LOC_OS08G28680')
LOC_OS09G24200	LOC_OS09G24200.2	13.0	H07	LOC_OS03G13970	LOC_OS03G13970.1	13.0	E08	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS03G13970', 'LOC_OS09G24200')
LOC_OS03G13970	LOC_OS03G13970.1	13.0	E08	LOC_OS11G38670	LOC_OS11G38670.1	17.0	H05	True	BLUE	IST_Retest_from_Vidal_PlateSeq_CP2	('LOC_OS03G13970', 'LOC_OS11G38670')
LOC_OS03G52594	LOC_OS03G52594.3	17.0	H06	LOC_OS03G17700	LOC_OS03G17700.1	11.0	E11	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS03G17700', 'LOC_OS03G52594')
LOC_OS06G09679	LOC_OS06G09679.1	7.0	D05	LOC_OS03G17700	LOC_OS03G17700.1	11.0	E11	True	RED	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS03G17700', 'LOC_OS06G09679')
LOC_OS11G02760	LOC_OS11G02760.1	6.0	F01	LOC_OS03G17700	LOC_OS03G17700.1	11.0	E11	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS03G17700', 'LOC_OS11G02760')
LOC_OS03G18220	LOC_OS03G18220.1	17.0	F05	LOC_OS03G18220	LOC_OS03G18220.1	17.0	F05	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS03G18220', 'LOC_OS03G18220')
LOC_OS03G18220				LOC_OS03G57130				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G18220', 'LOC_OS03G57130')
LOC_OS04G32880				LOC_OS03G20340				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G20340', 'LOC_OS04G32880')
LOC_OS08G37800	LOC_OS08G37800.1	15.0	G10	LOC_OS03G20340	LOC_OS03G20340.1	9.0	H08	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS03G20340', 'LOC_OS08G37800')
LOC_OS03G20460				LOC_OS06G12690				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G20460', 'LOC_OS06G12690')
LOC_OS08G29650				LOC_OS03G22380				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G22380', 'LOC_OS08G29650')
LOC_OS03G52594				LOC_OS03G25980				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G25980', 'LOC_OS03G52594')
LOC_OS06G13660	LOC_OS06G13660.1	20.0	H02	LOC_OS03G25980	LOC_OS03G25980.1	15.0	B06	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS03G25980', 'LOC_OS06G13660')
LOC_OS03G29260	LOC_OS03G29260.1	6.0	B10	LOC_OS07G46750	LOC_OS07G46750.1	6.0	C12	True	RED	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS03G29260', 'LOC_OS07G46750')
LOC_OS08G05530	LOC_OS08G05530.1	1.0	H07	LOC_OS03G29740	LOC_OS03G29740.1	1.0	C06	True	RED	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS03G29740', 'LOC_OS08G05530')
LOC_OS06G09679	LOC_OS06G09679.1	7.0	D05	LOC_OS03G32270	LOC_OS03G32270.1	8.0	C04	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS03G32270', 'LOC_OS06G09679')
LOC_OS03G36540				LOC_OS03G45344				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G36540', 'LOC_OS03G45344')
LOC_OS03G36540				LOC_OS03G57130				True	BLUE	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G36540', 'LOC_OS03G57130')
LOC_OS03G36540				LOC_OS04G39444				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G36540', 'LOC_OS04G39444')
LOC_OS03G36540				LOC_OS04G59494				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G36540', 'LOC_OS04G59494')
LOC_OS03G36540				LOC_OS07G22720				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G36540', 'LOC_OS07G22720')
LOC_OS03G36540				LOC_OS09G32680				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G36540', 'LOC_OS09G32680')
LOC_OS03G54780				LOC_OS03G38020				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G38020', 'LOC_OS03G54780')
LOC_OS06G14470				LOC_OS03G39610				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G39610', 'LOC_OS06G14470')
LOC_OS12G31380	LOC_OS12G31380.1	12.0	A09	LOC_OS03G48930	LOC_OS03G48930.1	6.0	C05	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS03G48930', 'LOC_OS12G31380')
LOC_OS03G63690	LOC_OS03G63690.1	11.0	E06	LOC_OS03G49150	LOC_OS03G49150.1	2.0	B06	True	BLUE	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS03G49150', 'LOC_OS03G63690')
LOC_OS10G41410	LOC_OS10G41410.1	4.0	G08	LOC_OS03G49420	LOC_OS03G49420.1	20.0	F08	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP2	('LOC_OS03G49420', 'LOC_OS10G41410')
LOC_OS03G50290				LOC_OS03G50290				True	BLUE	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G50290', 'LOC_OS03G50290')
LOC_OS09G34060				LOC_OS03G50290				True	BLUE	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G50290', 'LOC_OS09G34060')
LOC_OS03G50290				LOC_OS11G34450				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G50290', 'LOC_OS11G34450')
LOC_OS03G50490				LOC_OS03G50490				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G50490', 'LOC_OS03G50490')
LOC_OS03G50490	LOC_OS03G50490.1	12.0	C01	LOC_OS11G02450	LOC_OS11G02450.1	7.0	D03	True	RED	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS03G50490', 'LOC_OS11G02450')
LOC_OS03G50490				LOC_OS11G18870				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G50490', 'LOC_OS11G18870')
LOC_OS03G52594	LOC_OS03G52594.3	17.0	H06	LOC_OS03G57130	LOC_OS03G57130.1	10.0	E10	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS03G52594', 'LOC_OS03G57130')
LOC_OS03G52594	LOC_OS03G52594.3	17.0	H06	LOC_OS05G31780	LOC_OS05G31780.1	14.0	C01	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS03G52594', 'LOC_OS05G31780')
LOC_OS03G52594				LOC_OS05G47890				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G52594', 'LOC_OS05G47890')
LOC_OS03G52594				LOC_OS08G37800				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G52594', 'LOC_OS08G37800')
LOC_OS03G52594				LOC_OS12G09089				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G52594', 'LOC_OS12G09089')
LOC_OS03G52594	LOC_OS03G52594.3	17.0	H06	LOC_OS12G37370	LOC_OS12G37370.1	1.0	C11	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS03G52594', 'LOC_OS12G37370')
LOC_OS03G53650				LOC_OS03G53650				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G53650', 'LOC_OS03G53650')
LOC_OS06G02144				LOC_OS03G57130				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G57130', 'LOC_OS06G02144')
LOC_OS07G34570				LOC_OS03G57130				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G57130', 'LOC_OS07G34570')
LOC_OS08G37800	LOC_OS08G37800.1	15.0	G10	LOC_OS03G57130	LOC_OS03G57130.1	10.0	E10	True	BLUE	IST_Retest_from_Vidal_PlateSeq_CP2	('LOC_OS03G57130', 'LOC_OS08G37800')
LOC_OS09G02284	LOC_OS09G02284.1	10.0	G08	LOC_OS03G57130	LOC_OS03G57130.1	10.0	E10	True	BLUE	IST_Retest_from_Vidal_PlateSeq_CP2	('LOC_OS03G57130', 'LOC_OS09G02284')
LOC_OS09G34060	LOC_OS09G34060.1	12.0	C06	LOC_OS03G57130	LOC_OS03G57130.1	10.0	E10	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS03G57130', 'LOC_OS09G34060')
LOC_OS12G01530				LOC_OS03G57130				True	BLUE	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G57130', 'LOC_OS12G01530')
LOC_OS07G34570				LOC_OS03G57854				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G57854', 'LOC_OS07G34570')
LOC_OS12G31380	LOC_OS12G31380.1	12.0	A09	LOC_OS03G59710	LOC_OS03G59710.1	2.0	C10	True	RED	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS03G59710', 'LOC_OS12G31380')
LOC_OS07G34570				LOC_OS03G62630				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS03G62630', 'LOC_OS07G34570')
